Loan_ID,Loan_Type,Gender,Married,Dependents,Education,Self_Employed,Loan_Amount_Term,Loan_Status,ApplicantIncome_LKR,CoapplicantIncome_LKR,LoanAmount_LKR,Property_Region_SL,Employment_Sector,CRIB_Clearance
LP0218,Housing Loan,Male,No,1,Graduate,Yes,120,Y,72260,30980,4420000,Nuwara Eliya,Private Sector,Low Risk
LP0219,Personal Loan,Female,No,0,Not Graduate,Yes,12,Y,218880,199120,960000,Kandy,Informal/Self-Employed,Low Risk
LP0220,Housing Loan,Male,No,2,Graduate,Yes,120,Y,117120,122800,4480000,Jaffna,Private Sector,Low Risk
LP0221,Housing Loan,Male,No,0,Not Graduate,No,120,Y,234760,74320,4810000,Kilinochchi,Private Sector,Low Risk
LP0222,Housing Loan,Male,Yes,1,Graduate,Yes,60,N,140860,89620,2870000,Anuradhapura,Private Sector,Very High Risk
LP0223,Vehicle Lease,Female,No,0,Graduate,No,36,Y,121100,157960,1530000,Badulla,Government,Very Low Risk
LP0224,Business/SME Loan,Female,Yes,2,Not Graduate,Yes,60,Y,274300,130960,2590000,Jaffna,Private Sector,Very Low Risk
LP0225,Personal Loan,Female,Yes,0,Not Graduate,No,12,Y,281760,45860,910000,Matara,Private Sector,Very Low Risk
LP0226,Housing Loan,Female,Yes,1,Not Graduate,Yes,120,N,171240,96740,3650000,Hambantota,Private Sector,Very Low Risk
LP0227,Housing Loan,Male,Yes,2,Not Graduate,Yes,120,Y,97480,155160,3170000,Gampaha,Informal/Self-Employed,Average Risk
LP0228,Housing Loan,Female,Yes,3+,Graduate,Yes,120,N,158600,135860,4350000,Puttalam,Private Sector,Very Low Risk
LP0229,Housing Loan,Male,Yes,1,Not Graduate,Yes,120,N,99320,152760,3120000,Badulla,Private Sector,Average Risk
LP0230,Housing Loan,Male,No,2,Not Graduate,No,120,Y,91620,159860,3850000,Kalutara,Private Sector,Low Risk
LP0231,Housing Loan,Female,Yes,2,Not Graduate,No,120,Y,269400,120140,4360000,Mannar,Private Sector,Low Risk
LP0232,Housing Loan,Female,Yes,3+,Graduate,Yes,120,N,42580,110840,4140000,Badulla,Private Sector,Very High Risk
LP0233,Housing Loan,Female,Yes,0,Graduate,No,120,N,35380,181840,3080000,Monaragala,Private Sector,Very High Risk
LP0234,Housing Loan,Female,No,0,Not Graduate,Yes,120,Y,246620,127120,3320000,Kegalle,Private Sector,Low Risk
LP0235,Housing Loan,Female,No,1,Graduate,Yes,36,Y,233700,168660,1630000,Galle,Government,Very Low Risk
LP0236,Housing Loan,Female,Yes,3+,Not Graduate,No,120,Y,144480,147600,4120000,Kandy,Government,Very High Risk
LP0237,Personal Loan,Female,No,0,Graduate,Yes,12,Y,147940,47700,890000,Kegalle,Private Sector,Very Low Risk
LP0238,Housing Loan,Female,Yes,3+,Graduate,Yes,120,N,251660,85360,4660000,Monaragala,Private Sector,High Risk
LP0239,Housing Loan,Male,Yes,0,Graduate,No,60,Y,292980,13420,2690000,Gampaha,Government,Low Risk
LP0240,Business/SME Loan,Female,No,2,Graduate,Yes,48,N,98640,3260,1780000,Monaragala,Private Sector,Very Low Risk
LP0241,Personal Loan,Female,Yes,0,Not Graduate,Yes,12,N,219440,173120,570000,Ratnapura,Private Sector,Average Risk
LP0242,Vehicle Lease,Male,No,3+,Not Graduate,Yes,48,N,155520,91840,1500000,Hambantota,Private Sector,Average Risk
LP0243,Housing Loan,Female,No,2,Not Graduate,Yes,120,Y,147900,95900,4650000,Galle,Private Sector,Average Risk
LP0244,Housing Loan,Male,Yes,2,Graduate,No,120,Y,172300,95960,4290000,Trincomalee,Private Sector,Very Low Risk
LP0245,Vehicle Lease,Male,Yes,2,Not Graduate,No,60,Y,163120,120720,2250000,Hambantota,Private Sector,Very Low Risk
LP0246,Personal Loan,Female,No,3+,Not Graduate,No,48,Y,241040,47100,1560000,Batticaloa,Private Sector,Average Risk
LP0247,Personal Loan,Male,Yes,1,Not Graduate,Yes,36,Y,41500,117740,1500000,Kalutara,Government,Very Low Risk
LP0248,Housing Loan,Male,Yes,1,Graduate,Yes,120,Y,170580,159220,3090000,Jaffna,Private Sector,Average Risk
LP0249,Housing Loan,Male,Yes,1,Graduate,No,120,N,151980,116540,4150000,Galle,Private Sector,Average Risk
LP0250,Business/SME Loan,Male,No,3+,Graduate,Yes,60,N,219980,174740,2950000,Kandy,Informal/Self-Employed,Average Risk
LP0251,Housing Loan,Female,No,2,Not Graduate,Yes,120,Y,93840,94380,3240000,Kurunegala,Private Sector,Very Low Risk
LP0252,Personal Loan,Male,Yes,1,Not Graduate,Yes,24,N,93560,11860,810000,Jaffna,Informal/Self-Employed,Very Low Risk
LP0253,Housing Loan,Female,No,3+,Not Graduate,Yes,48,Y,151040,96780,1860000,Colombo,Private Sector,Average Risk
LP0254,Personal Loan,Male,No,1,Graduate,No,24,Y,84680,147880,610000,Kandy,Government,Very Low Risk
LP0255,Housing Loan,Male,No,0,Graduate,No,120,Y,152320,193020,4440000,Galle,Private Sector,Very Low Risk
LP0256,Housing Loan,Male,No,1,Not Graduate,No,120,Y,238080,69860,3510000,Colombo,Private Sector,Low Risk
LP0257,Housing Loan,Male,No,1,Graduate,Yes,120,N,240880,123280,4240000,Batticaloa,Private Sector,Average Risk
LP0258,Personal Loan,Female,Yes,2,Graduate,No,24,N,101360,53440,650000,Gampaha,Government,Very High Risk
LP0259,Personal Loan,Female,Yes,3+,Graduate,No,48,Y,226940,84000,1780000,Nuwara Eliya,Private Sector,Low Risk
LP0260,Vehicle Lease,Male,Yes,2,Graduate,Yes,48,N,225420,320,1120000,Vavuniya,Private Sector,High Risk
LP0261,Housing Loan,Male,No,2,Not Graduate,Yes,36,N,74060,63820,1580000,Monaragala,Private Sector,Low Risk
LP0262,Housing Loan,Female,No,2,Graduate,Yes,120,N,57800,7840,4240000,Kandy,Informal/Self-Employed,Average Risk
LP0263,Personal Loan,Male,Yes,2,Graduate,No,24,Y,64840,172320,700000,Mullaitivu,Government,Very Low Risk
LP0264,Personal Loan,Male,No,2,Graduate,No,60,Y,68500,125440,2070000,Vavuniya,Private Sector,Low Risk
LP0265,Housing Loan,Male,Yes,1,Graduate,No,120,N,42380,11420,3180000,Mannar,Private Sector,Average Risk
LP0266,Housing Loan,Female,Yes,2,Not Graduate,Yes,60,Y,55480,72620,2110000,Galle,Government,Very High Risk
LP0267,Housing Loan,Female,Yes,2,Not Graduate,No,120,Y,49120,123440,3090000,Galle,Private Sector,Low Risk
LP0268,Housing Loan,Female,No,3+,Graduate,No,120,N,68780,186240,4610000,Anuradhapura,Private Sector,Very High Risk
LP0269,Housing Loan,Male,No,0,Graduate,Yes,48,Y,109060,143540,1510000,Kurunegala,Private Sector,Very Low Risk
LP0270,Housing Loan,Male,Yes,1,Graduate,No,60,N,241460,168660,2720000,Anuradhapura,Government,Very Low Risk
LP0271,Vehicle Lease,Female,Yes,1,Graduate,Yes,48,N,49360,77940,1080000,Galle,Private Sector,Very High Risk
LP0272,Business/SME Loan,Female,Yes,1,Graduate,Yes,60,N,220160,162460,2960000,Gampaha,Government,Low Risk
LP0273,Business/SME Loan,Female,Yes,2,Graduate,Yes,36,Y,214700,45580,1770000,Galle,Informal/Self-Employed,Average Risk
LP0274,Housing Loan,Female,No,2,Not Graduate,No,120,Y,35620,179600,3320000,Ampara,Government,Average Risk
LP0275,Housing Loan,Male,No,2,Graduate,No,120,N,250720,149020,3740000,Matara,Private Sector,Low Risk
LP0276,Personal Loan,Female,Yes,3+,Not Graduate,Yes,24,Y,155240,178120,740000,Galle,Informal/Self-Employed,Low Risk
LP0277,Personal Loan,Male,Yes,0,Not Graduate,No,36,N,51160,15500,1800000,Kandy,Private Sector,Low Risk
LP0278,Housing Loan,Female,No,2,Graduate,Yes,120,Y,115860,137380,4020000,Trincomalee,Informal/Self-Employed,Low Risk
LP0279,Housing Loan,Male,No,0,Not Graduate,Yes,60,N,244480,44940,2450000,Batticaloa,Government,Very High Risk
LP0280,Housing Loan,Female,Yes,3+,Not Graduate,Yes,120,Y,270400,141760,3300000,Mannar,Private Sector,Low Risk
LP0281,Housing Loan,Female,Yes,1,Not Graduate,No,120,N,133560,1560,4530000,Kandy,Private Sector,Average Risk
LP0282,Housing Loan,Female,Yes,2,Not Graduate,Yes,120,Y,169600,161600,4670000,Ratnapura,Private Sector,Very Low Risk
LP0283,Vehicle Lease,Female,No,0,Not Graduate,No,60,N,299440,141980,2030000,Ratnapura,Government,High Risk
LP0284,Housing Loan,Male,No,0,Not Graduate,No,120,Y,214000,78520,4310000,Galle,Government,Very Low Risk
LP0285,Personal Loan,Female,No,2,Graduate,No,48,Y,54580,180940,1820000,Jaffna,Government,Low Risk
LP0286,Housing Loan,Male,Yes,1,Not Graduate,No,60,N,214540,146800,2760000,Badulla,Private Sector,Very Low Risk
LP0287,Business/SME Loan,Male,Yes,1,Not Graduate,Yes,60,Y,121700,141660,2380000,Matale,Private Sector,Low Risk
LP0288,Housing Loan,Male,No,1,Not Graduate,Yes,120,N,199340,124600,3140000,Colombo,Private Sector,Very High Risk
LP0289,Housing Loan,Male,No,3+,Graduate,Yes,120,Y,84800,184460,4210000,Galle,Government,Very Low Risk
LP0290,Housing Loan,Female,Yes,0,Not Graduate,Yes,120,Y,75780,98800,4830000,Galle,Informal/Self-Employed,Low Risk
LP0291,Vehicle Lease,Male,No,0,Graduate,No,36,Y,54780,65420,1830000,Kandy,Private Sector,Very Low Risk
LP0292,Housing Loan,Male,No,0,Not Graduate,No,60,Y,137400,69120,2600000,Colombo,Private Sector,Very Low Risk
LP0293,Business/SME Loan,Male,Yes,3+,Graduate,Yes,36,N,32500,155760,1090000,Jaffna,Government,Very High Risk
LP0294,Housing Loan,Female,No,0,Graduate,No,120,N,275140,171980,4770000,Hambantota,Private Sector,High Risk
LP0295,Housing Loan,Female,Yes,3+,Not Graduate,No,120,Y,280080,153000,4260000,Gampaha,Government,Very Low Risk
LP0296,Housing Loan,Female,Yes,1,Not Graduate,No,120,N,179460,54220,4440000,Matale,Private Sector,Very High Risk
LP0297,Housing Loan,Female,Yes,2,Graduate,Yes,120,N,271200,33360,4990000,Hambantota,Private Sector,Low Risk
LP0298,Housing Loan,Male,Yes,0,Not Graduate,Yes,120,Y,218000,2940,4800000,Ratnapura,Government,Very Low Risk
LP0299,Housing Loan,Male,Yes,0,Graduate,Yes,120,Y,136840,128400,4130000,Galle,Private Sector,Low Risk
LP0300,Housing Loan,Female,Yes,1,Graduate,No,120,Y,177020,7300,4130000,Batticaloa,Government,Very Low Risk
LP0301,Business/SME Loan,Male,Yes,2,Graduate,Yes,60,Y,162760,197320,2620000,Kandy,Private Sector,Very Low Risk
LP0302,Business/SME Loan,Male,No,3+,Graduate,Yes,60,N,161400,90620,2650000,Batticaloa,Private Sector,Very High Risk
LP0303,Housing Loan,Male,Yes,2,Graduate,Yes,60,Y,94980,106600,2750000,Polonnaruwa,Private Sector,Low Risk
LP0304,Business/SME Loan,Female,Yes,1,Not Graduate,Yes,48,N,212200,110200,1800000,Galle,Private Sector,Very High Risk
LP0305,Business/SME Loan,Female,No,1,Graduate,Yes,48,N,181900,175080,1250000,Polonnaruwa,Private Sector,Low Risk
LP0306,Housing Loan,Male,No,2,Graduate,Yes,120,N,272300,179280,3350000,Polonnaruwa,Private Sector,Average Risk
LP0307,Housing Loan,Female,No,3+,Not Graduate,No,120,Y,155880,129860,3260000,Badulla,Private Sector,Low Risk
LP0308,Personal Loan,Female,Yes,3+,Graduate,No,60,Y,160540,108780,2050000,Kandy,Private Sector,Very Low Risk
LP0309,Business/SME Loan,Female,No,0,Not Graduate,Yes,60,N,145140,195300,2970000,Mannar,Private Sector,Low Risk
LP0310,Business/SME Loan,Female,Yes,3+,Not Graduate,Yes,60,N,281900,130220,2670000,Kegalle,Private Sector,High Risk
LP0311,Vehicle Lease,Female,Yes,2,Not Graduate,No,60,Y,69380,150080,2390000,Colombo,Private Sector,Very Low Risk
LP0312,Housing Loan,Male,Yes,1,Graduate,No,120,Y,249700,24920,4660000,Galle,Private Sector,High Risk
LP0313,Business/SME Loan,Female,Yes,0,Graduate,Yes,60,Y,47820,76780,2120000,Anuradhapura,Informal/Self-Employed,Very Low Risk
LP0314,Business/SME Loan,Male,No,0,Graduate,Yes,60,N,119400,171020,2290000,Gampaha,Private Sector,Average Risk
LP0315,Personal Loan,Male,No,1,Not Graduate,Yes,12,N,173500,47520,830000,Ampara,Government,Very High Risk
LP0316,Personal Loan,Female,Yes,3+,Graduate,Yes,24,Y,234500,60180,900000,Galle,Private Sector,Low Risk
LP0317,Housing Loan,Male,Yes,1,Not Graduate,No,120,Y,221120,183080,3560000,Kegalle,Private Sector,Very Low Risk
LP0318,Housing Loan,Male,Yes,3+,Graduate,Yes,120,Y,196400,36540,4800000,Matale,Informal/Self-Employed,Very Low Risk
LP0319,Housing Loan,Male,No,1,Not Graduate,Yes,120,N,214120,139580,3870000,Matale,Government,High Risk
LP0320,Housing Loan,Female,Yes,2,Graduate,Yes,120,Y,229820,196100,3630000,Kandy,Government,Very Low Risk
LP0321,Personal Loan,Female,Yes,3+,Graduate,Yes,36,Y,166240,196640,1240000,Kandy,Private Sector,Very High Risk
LP0322,Housing Loan,Male,No,2,Graduate,No,120,N,180380,171380,4900000,Anuradhapura,Private Sector,Low Risk
LP0323,Housing Loan,Female,No,0,Not Graduate,Yes,120,N,122240,85700,3280000,Galle,Informal/Self-Employed,Very High Risk
LP0324,Personal Loan,Female,Yes,1,Not Graduate,No,60,N,224200,138200,2250000,Kalutara,Government,High Risk
LP0325,Housing Loan,Female,No,0,Graduate,Yes,120,Y,277460,171220,4330000,Galle,Private Sector,Average Risk
LP0326,Business/SME Loan,Female,No,0,Graduate,Yes,36,Y,53960,43920,1990000,Ratnapura,Government,Low Risk
LP0327,Housing Loan,Male,Yes,0,Not Graduate,No,120,N,271300,74940,3220000,Badulla,Private Sector,Low Risk
LP0328,Housing Loan,Male,No,0,Not Graduate,Yes,120,Y,134760,176860,3740000,Nuwara Eliya,Government,Low Risk
LP0329,Business/SME Loan,Female,Yes,1,Not Graduate,Yes,36,N,243320,119560,1570000,Badulla,Government,Very Low Risk
LP0330,Personal Loan,Female,No,0,Graduate,No,36,N,151780,112140,1880000,Badulla,Private Sector,Very Low Risk
LP0331,Housing Loan,Male,Yes,1,Not Graduate,Yes,120,Y,263540,15380,3990000,Gampaha,Informal/Self-Employed,Very Low Risk
LP0332,Housing Loan,Male,Yes,1,Graduate,Yes,120,Y,155140,15600,3200000,Ratnapura,Informal/Self-Employed,Low Risk
LP0333,Housing Loan,Female,Yes,2,Not Graduate,No,120,Y,274820,198160,3960000,Gampaha,Private Sector,Very Low Risk
LP0334,Housing Loan,Male,No,3+,Graduate,Yes,120,Y,184100,126060,4680000,Jaffna,Informal/Self-Employed,Very Low Risk
LP0335,Housing Loan,Female,Yes,3+,Not Graduate,Yes,120,N,104380,79660,3380000,Kilinochchi,Government,High Risk
LP0336,Business/SME Loan,Female,No,1,Not Graduate,Yes,60,Y,36040,190060,2610000,Kurunegala,Informal/Self-Employed,Very Low Risk
LP0337,Housing Loan,Male,Yes,2,Not Graduate,Yes,120,Y,272880,174280,4300000,Ampara,Private Sector,Average Risk
LP0338,Housing Loan,Male,Yes,1,Not Graduate,No,120,Y,287500,10420,3210000,Kalutara,Private Sector,Low Risk
LP0339,Housing Loan,Female,No,1,Not Graduate,No,120,N,49720,182540,4670000,Kalutara,Private Sector,Very High Risk
LP0340,Vehicle Lease,Female,Yes,1,Graduate,Yes,36,N,231100,151380,1150000,Matara,Private Sector,High Risk
LP0341,Housing Loan,Male,Yes,2,Not Graduate,No,120,N,118800,115680,4730000,Mullaitivu,Private Sector,Very High Risk
LP0342,Business/SME Loan,Female,No,3+,Not Graduate,Yes,60,Y,128180,91660,2970000,Monaragala,Private Sector,Very High Risk
LP0343,Housing Loan,Male,Yes,2,Not Graduate,Yes,60,Y,91440,118920,2050000,Kegalle,Private Sector,Very Low Risk
LP0344,Personal Loan,Female,Yes,0,Graduate,Yes,24,N,92480,98820,960000,Kandy,Government,High Risk
LP0345,Housing Loan,Male,Yes,2,Not Graduate,Yes,120,N,220380,125340,4720000,Kalutara,Informal/Self-Employed,Very Low Risk
LP0346,Vehicle Lease,Male,Yes,2,Graduate,No,60,Y,297600,142560,2500000,Anuradhapura,Private Sector,Low Risk
LP0347,Business/SME Loan,Male,No,2,Not Graduate,Yes,36,N,242000,49220,1970000,Matara,Government,Very High Risk
LP0348,Personal Loan,Female,No,2,Not Graduate,No,36,Y,267300,13700,1730000,Puttalam,Private Sector,Very Low Risk
LP0349,Personal Loan,Female,Yes,3+,Graduate,No,24,Y,192500,43200,500000,Monaragala,Private Sector,Very Low Risk
LP0350,Housing Loan,Male,No,0,Not Graduate,No,60,N,95820,140620,2960000,Mullaitivu,Private Sector,Low Risk
LP0351,Housing Loan,Female,Yes,3+,Graduate,No,120,Y,110660,195180,3920000,Batticaloa,Private Sector,Low Risk
LP0352,Housing Loan,Male,No,3+,Graduate,Yes,36,Y,132100,106820,1770000,Ampara,Government,Average Risk
LP0353,Business/SME Loan,Male,Yes,2,Not Graduate,Yes,60,N,44060,760,2400000,Matale,Private Sector,Low Risk
LP0354,Personal Loan,Female,Yes,1,Graduate,Yes,48,Y,192660,97500,1160000,Kalutara,Informal/Self-Employed,Very Low Risk
LP0355,Personal Loan,Female,Yes,1,Not Graduate,No,24,N,41480,25120,530000,Ampara,Private Sector,Very Low Risk
LP0356,Housing Loan,Male,Yes,3+,Not Graduate,Yes,120,N,144080,153940,4910000,Ratnapura,Private Sector,Very High Risk
LP0357,Housing Loan,Female,Yes,3+,Graduate,No,120,Y,258480,43920,4580000,Mullaitivu,Private Sector,Very Low Risk
LP0358,Housing Loan,Female,Yes,2,Graduate,Yes,120,Y,186960,143300,3520000,Colombo,Private Sector,Low Risk
LP0359,Housing Loan,Male,No,3+,Graduate,No,120,N,134160,6020,3430000,Galle,Private Sector,Average Risk
LP0360,Business/SME Loan,Male,Yes,2,Graduate,Yes,48,N,289500,150540,1920000,Ampara,Private Sector,Very High Risk
LP0361,Personal Loan,Female,No,1,Not Graduate,No,60,Y,168480,127620,2400000,Galle,Government,Very Low Risk
LP0362,Personal Loan,Male,Yes,1,Not Graduate,No,12,N,246480,12920,700000,Nuwara Eliya,Private Sector,Low Risk
LP0363,Business/SME Loan,Male,No,0,Graduate,Yes,60,Y,106560,199020,2760000,Colombo,Government,Very High Risk
LP0364,Housing Loan,Female,No,1,Not Graduate,No,120,N,94600,175780,3620000,Monaragala,Government,Very High Risk
LP0365,Personal Loan,Male,No,3+,Not Graduate,No,36,Y,39760,177060,1660000,Polonnaruwa,Government,Average Risk
LP0366,Housing Loan,Male,Yes,1,Not Graduate,Yes,120,Y,172280,86600,4860000,Batticaloa,Government,Very Low Risk
LP0367,Housing Loan,Female,Yes,2,Not Graduate,No,120,N,220780,191200,3510000,Vavuniya,Private Sector,Average Risk
LP0368,Business/SME Loan,Female,No,1,Graduate,Yes,36,Y,267460,140060,1910000,Badulla,Private Sector,Average Risk
LP0369,Housing Loan,Male,Yes,0,Graduate,Yes,120,Y,93460,70740,4500000,Gampaha,Private Sector,Very Low Risk
LP0370,Personal Loan,Male,No,1,Not Graduate,No,24,Y,285620,91160,880000,Kandy,Government,Very Low Risk
LP0371,Housing Loan,Female,Yes,2,Graduate,Yes,120,Y,63340,131580,4420000,Jaffna,Informal/Self-Employed,Very Low Risk
LP0372,Housing Loan,Female,No,2,Graduate,No,120,Y,226580,169480,4040000,Jaffna,Private Sector,Very Low Risk
LP0373,Housing Loan,Female,No,3+,Graduate,No,120,Y,112280,193560,3010000,Polonnaruwa,Private Sector,Very Low Risk
LP0374,Housing Loan,Female,Yes,1,Not Graduate,Yes,120,Y,101060,81640,3820000,Galle,Informal/Self-Employed,Very High Risk
LP0375,Business/SME Loan,Male,No,2,Not Graduate,Yes,60,Y,185220,83660,2560000,Badulla,Informal/Self-Employed,Very Low Risk
LP0376,Housing Loan,Female,Yes,0,Not Graduate,No,60,Y,50000,173040,2590000,Kandy,Government,Very Low Risk
LP0377,Business/SME Loan,Female,No,3+,Graduate,Yes,36,N,210840,75080,1640000,Kurunegala,Private Sector,Very High Risk
LP0378,Business/SME Loan,Male,No,0,Not Graduate,Yes,60,Y,57760,34480,2740000,Kandy,Informal/Self-Employed,Very Low Risk
LP0379,Business/SME Loan,Female,Yes,1,Not Graduate,Yes,48,N,139000,27520,1830000,Kilinochchi,Private Sector,Low Risk
LP0380,Housing Loan,Male,Yes,1,Graduate,No,60,Y,104240,174120,3000000,Gampaha,Government,Very Low Risk
LP0381,Housing Loan,Female,Yes,1,Not Graduate,No,60,Y,57340,177880,2680000,Gampaha,Private Sector,Very Low Risk
LP0382,Housing Loan,Female,No,3+,Not Graduate,Yes,120,N,193780,33060,4560000,Gampaha,Private Sector,Very High Risk
LP0383,Housing Loan,Female,Yes,2,Graduate,No,120,Y,210260,41320,4920000,Colombo,Private Sector,Low Risk
LP0384,Personal Loan,Male,No,3+,Graduate,No,36,N,39080,440,1400000,Galle,Private Sector,Average Risk
LP0385,Housing Loan,Male,No,0,Graduate,Yes,120,Y,226320,49200,4030000,Anuradhapura,Private Sector,Low Risk
LP0386,Housing Loan,Female,Yes,3+,Not Graduate,No,120,Y,85440,118520,4250000,Batticaloa,Government,Low Risk
LP0387,Personal Loan,Male,Yes,0,Not Graduate,No,24,N,104520,125020,950000,Kandy,Government,High Risk
LP0388,Personal Loan,Male,No,3+,Not Graduate,No,12,Y,174640,189920,870000,Puttalam,Private Sector,Very Low Risk
LP0389,Business/SME Loan,Male,No,2,Graduate,Yes,36,Y,256780,145900,1910000,Galle,Informal/Self-Employed,Low Risk
LP0390,Personal Loan,Male,Yes,0,Graduate,No,36,Y,275620,66000,1490000,Kandy,Private Sector,Low Risk
LP0391,Housing Loan,Male,Yes,1,Not Graduate,No,120,Y,126120,125580,3770000,Nuwara Eliya,Private Sector,Average Risk
LP0392,Vehicle Lease,Male,Yes,1,Not Graduate,No,60,Y,73800,171060,2390000,Gampaha,Private Sector,Very Low Risk
LP0393,Personal Loan,Female,Yes,3+,Graduate,No,24,Y,212160,147060,840000,Monaragala,Private Sector,Very Low Risk
LP0394,Housing Loan,Female,Yes,1,Graduate,Yes,48,N,273560,74540,1960000,Polonnaruwa,Private Sector,Low Risk
LP0395,Personal Loan,Male,No,0,Graduate,Yes,12,Y,87500,125440,790000,Batticaloa,Informal/Self-Employed,Very Low Risk
LP0396,Housing Loan,Female,No,1,Graduate,No,120,Y,141840,119900,3830000,Galle,Private Sector,Average Risk
LP0397,Vehicle Lease,Female,No,2,Not Graduate,No,36,Y,58800,189520,1330000,Mullaitivu,Private Sector,Average Risk
LP0398,Housing Loan,Female,No,2,Graduate,Yes,120,Y,281840,10280,4180000,Gampaha,Private Sector,Very Low Risk
LP0399,Housing Loan,Female,Yes,3+,Not Graduate,Yes,120,N,208540,8960,3300000,Kandy,Private Sector,Very High Risk
LP0400,Housing Loan,Male,Yes,0,Not Graduate,No,120,Y,265200,120380,4730000,Colombo,Private Sector,Low Risk
LP0401,Housing Loan,Female,Yes,2,Not Graduate,Yes,120,Y,151180,106860,3930000,Kegalle,Private Sector,Very Low Risk
LP0402,Housing Loan,Female,No,2,Graduate,No,120,Y,260600,160660,3190000,Colombo,Private Sector,Average Risk
LP0403,Business/SME Loan,Male,No,0,Graduate,Yes,60,N,170200,50400,2030000,Hambantota,Government,Low Risk
LP0404,Business/SME Loan,Male,Yes,1,Graduate,Yes,48,N,254140,61620,1510000,Colombo,Government,Low Risk
LP0405,Housing Loan,Female,Yes,1,Graduate,Yes,60,Y,172340,28560,2640000,Matale,Private Sector,Very Low Risk
LP0406,Housing Loan,Female,No,3+,Not Graduate,Yes,48,Y,251620,79340,1990000,Galle,Private Sector,Average Risk
LP0407,Housing Loan,Female,No,1,Graduate,No,120,Y,213060,128900,4810000,Mullaitivu,Private Sector,Very Low Risk
LP0408,Vehicle Lease,Female,Yes,0,Graduate,Yes,48,N,89780,182280,1320000,Monaragala,Private Sector,High Risk
LP0409,Business/SME Loan,Female,Yes,2,Not Graduate,Yes,36,Y,270800,43180,1590000,Kandy,Private Sector,Average Risk
LP0410,Housing Loan,Female,No,1,Graduate,No,120,Y,214360,102640,4840000,Kandy,Government,Very Low Risk
LP0411,Housing Loan,Male,Yes,3+,Not Graduate,Yes,120,Y,154560,50940,4360000,Mullaitivu,Informal/Self-Employed,Very Low Risk
LP0412,Housing Loan,Female,Yes,1,Not Graduate,Yes,120,Y,271140,59580,4750000,Kurunegala,Private Sector,Average Risk
LP0413,Housing Loan,Female,Yes,0,Not Graduate,No,120,Y,159420,52980,3240000,Gampaha,Private Sector,Average Risk
LP0414,Housing Loan,Male,No,3+,Not Graduate,Yes,60,Y,87260,170100,2500000,Nuwara Eliya,Private Sector,Very High Risk
LP0415,Housing Loan,Male,No,1,Not Graduate,Yes,120,Y,243860,61660,3330000,Kandy,Informal/Self-Employed,Low Risk
LP0416,Personal Loan,Male,No,3+,Not Graduate,No,60,Y,232780,20740,2220000,Gampaha,Private Sector,Very Low Risk
LP0417,Housing Loan,Male,No,0,Not Graduate,No,120,Y,53540,69780,3760000,Kandy,Private Sector,Very Low Risk
LP0418,Housing Loan,Female,No,2,Not Graduate,No,60,N,125200,152080,2550000,Colombo,Private Sector,Very Low Risk
LP0419,Vehicle Lease,Female,No,0,Graduate,Yes,48,Y,30220,150880,1120000,Badulla,Government,Low Risk
LP0420,Vehicle Lease,Female,No,0,Graduate,No,36,Y,135040,52680,1220000,Gampaha,Government,Low Risk
LP0421,Housing Loan,Female,Yes,0,Graduate,Yes,60,N,117980,79660,3000000,Vavuniya,Private Sector,Low Risk
LP0422,Housing Loan,Female,Yes,0,Graduate,Yes,48,Y,261120,35560,1730000,Puttalam,Private Sector,Low Risk
LP0423,Housing Loan,Female,Yes,2,Not Graduate,Yes,120,N,254280,158040,4240000,Kalutara,Private Sector,Very Low Risk
LP0424,Business/SME Loan,Male,Yes,2,Graduate,Yes,36,Y,261260,102200,1700000,Galle,Government,Low Risk
LP0425,Housing Loan,Female,Yes,3+,Not Graduate,Yes,120,Y,250440,103780,3240000,Vavuniya,Private Sector,Very Low Risk
LP0426,Housing Loan,Male,Yes,1,Graduate,Yes,120,Y,194680,147560,4800000,Badulla,Private Sector,Low Risk
LP0427,Housing Loan,Male,Yes,2,Graduate,Yes,120,Y,212700,22480,4470000,Kandy,Private Sector,Very Low Risk
LP0428,Business/SME Loan,Female,No,2,Graduate,Yes,48,Y,241640,13940,1690000,Puttalam,Private Sector,Average Risk
LP0429,Housing Loan,Male,No,1,Not Graduate,Yes,120,Y,138900,43580,4710000,Kilinochchi,Private Sector,Very Low Risk
LP0430,Housing Loan,Female,Yes,2,Graduate,Yes,120,N,244740,191920,4860000,Matara,Private Sector,High Risk
LP0431,Housing Loan,Male,Yes,0,Not Graduate,No,120,Y,242060,105020,3660000,Colombo,Private Sector,Very Low Risk
LP0432,Vehicle Lease,Female,No,0,Not Graduate,No,60,Y,293560,184700,2130000,Galle,Private Sector,Low Risk
LP0433,Housing Loan,Male,Yes,1,Graduate,No,120,Y,161400,38580,4730000,Ampara,Private Sector,Low Risk
LP0434,Housing Loan,Female,Yes,3+,Graduate,Yes,120,Y,213920,20260,3350000,Mullaitivu,Government,Very Low Risk
LP0435,Housing Loan,Female,No,3+,Graduate,No,120,Y,194240,4520,3140000,Mullaitivu,Private Sector,Very Low Risk
LP0436,Housing Loan,Female,Yes,1,Not Graduate,No,120,Y,38120,146420,3690000,Galle,Private Sector,Low Risk
LP0437,Personal Loan,Female,No,1,Graduate,No,60,Y,214120,36560,2100000,Matara,Private Sector,High Risk
