Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP0319,Male,No,1,Not Graduate,Yes,10706,6979,387,240,0.0,Rural,N
LP0320,Female,Yes,2,Graduate,Yes,11491,9805,363,360,1.0,Urban,Y
LP0321,Female,Yes,3+,Graduate,Yes,8312,9832,124,180,0.0,Urban,Y
LP0322,Male,No,2,Graduate,No,9019,8569,490,360,1.0,Rural,N
LP0323,Female,No,0,Not Graduate,No,6112,4285,328,180,0.0,Urban,N
LP0324,Female,Yes,1,Not Graduate,No,11210,6910,225,240,0.0,Semiurban,N
LP0325,Female,No,0,Graduate,Yes,13873,8561,433,240,1.0,Urban,Y
LP0326,Female,No,0,Graduate,Yes,2698,2196,199,180,1.0,Semiurban,Y
LP0327,Male,Yes,0,Not Graduate,No,13565,3747,322,240,1.0,Semiurban,N
LP0328,Male,No,0,Not Graduate,Yes,6738,8843,374,180,1.0,Semiurban,Y
LP0329,Female,Yes,1,Not Graduate,Yes,12166,5978,157,180,1.0,Semiurban,N
LP0330,Female,No,0,Graduate,No,7589,5607,188,240,1.0,Semiurban,N
LP0331,Male,Yes,1,Not Graduate,No,13177,769,399,480,1.0,Urban,Y
LP0332,Male,Yes,1,Graduate,No,7757,780,320,180,1.0,Semiurban,Y
LP0333,Female,Yes,2,Not Graduate,No,13741,9908,396,360,1.0,Urban,Y
LP0334,Male,No,3+,Graduate,Yes,9205,6303,468,360,1.0,Semiurban,Y
LP0335,Female,Yes,3+,Not Graduate,Yes,5219,3983,338,240,0.0,Rural,N
LP0336,Female,No,1,Not Graduate,No,1802,9503,261,480,1.0,Semiurban,Y
LP0337,Male,Yes,2,Not Graduate,Yes,13644,8714,430,240,1.0,Rural,Y
LP0338,Male,Yes,1,Not Graduate,No,14375,521,321,480,1.0,Semiurban,Y
LP0339,Female,No,1,Not Graduate,No,2486,9127,467,180,0.0,Semiurban,N
LP0340,Female,Yes,1,Graduate,Yes,11555,7569,115,180,0.0,Semiurban,N
LP0341,Male,Yes,2,Not Graduate,No,5940,5784,473,180,0.0,Rural,N
LP0342,Female,No,3+,Not Graduate,Yes,6409,4583,297,180,0.0,Rural,Y
LP0343,Male,Yes,2,Not Graduate,Yes,4572,5946,205,360,1.0,Semiurban,Y
LP0344,Female,Yes,0,Graduate,Yes,4624,4941,96,360,0.0,Urban,N
LP0345,Male,Yes,2,Not Graduate,Yes,11019,6267,472,240,1.0,Semiurban,N
LP0346,Male,Yes,2,Graduate,No,14880,7128,250,480,1.0,Rural,Y
LP0347,Male,No,2,Not Graduate,Yes,12100,2461,197,180,0.0,Semiurban,N
LP0348,Female,No,2,Not Graduate,No,13365,685,173,180,1.0,Rural,Y
LP0349,Female,Yes,3+,Graduate,No,9625,2160,50,480,1.0,Rural,Y
LP0350,Male,No,0,Not Graduate,No,4791,7031,296,480,1.0,Rural,N
LP0351,Female,Yes,3+,Graduate,No,5533,9759,392,240,1.0,Semiurban,Y
LP0352,Male,No,3+,Graduate,Yes,6605,5341,177,480,1.0,Rural,Y
LP0353,Male,Yes,2,Not Graduate,Yes,2203,38,240,180,1.0,Rural,N
LP0354,Female,Yes,1,Graduate,No,9633,4875,116,180,1.0,Semiurban,Y
LP0355,Female,Yes,1,Not Graduate,No,2074,1256,53,180,1.0,Rural,N
LP0356,Male,Yes,3+,Not Graduate,Yes,7204,7697,491,180,0.0,Semiurban,N
LP0357,Female,Yes,3+,Graduate,No,12924,2196,458,180,1.0,Rural,Y
LP0358,Female,Yes,2,Graduate,Yes,9348,7165,352,240,1.0,Urban,Y
LP0359,Male,No,3+,Graduate,No,6708,301,343,180,0.0,Urban,N
LP0360,Male,Yes,2,Graduate,Yes,14475,7527,192,240,0.0,Rural,N
LP0361,Female,No,1,Not Graduate,No,8424,6381,240,180,1.0,Urban,Y
LP0362,Male,Yes,1,Not Graduate,No,12324,646,70,360,1.0,Semiurban,N
LP0363,Male,No,0,Graduate,Yes,5328,9951,276,360,0.0,Urban,Y
LP0364,Female,No,1,Not Graduate,No,4730,8789,362,360,0.0,Rural,N
LP0365,Male,No,3+,Not Graduate,No,1988,8853,166,360,1.0,Rural,Y
LP0366,Male,Yes,1,Not Graduate,Yes,8614,4330,486,240,1.0,Semiurban,Y
LP0367,Female,Yes,2,Not Graduate,No,11039,9560,351,240,1.0,Rural,N
LP0368,Female,No,1,Graduate,Yes,13373,7003,191,480,1.0,Semiurban,Y
LP0369,Male,Yes,0,Graduate,Yes,4673,3537,450,180,1.0,Urban,Y
LP0370,Male,No,1,Not Graduate,No,14281,4558,88,360,1.0,Urban,Y
LP0371,Female,Yes,2,Graduate,No,3167,6579,442,240,1.0,Semiurban,Y
LP0372,Female,No,2,Graduate,No,11329,8474,404,180,1.0,Semiurban,Y
LP0373,Female,No,3+,Graduate,No,5614,9678,301,180,1.0,Rural,Y
LP0374,Female,Yes,1,Not Graduate,No,5053,4082,382,240,0.0,Urban,Y
LP0375,Male,No,2,Not Graduate,No,9261,4183,256,360,1.0,Semiurban,Y
LP0376,Female,Yes,0,Not Graduate,No,2500,8652,259,480,1.0,Urban,Y
LP0377,Female,No,3+,Graduate,Yes,10542,3754,164,180,0.0,Semiurban,N
LP0378,Male,No,0,Not Graduate,No,2888,1724,274,480,1.0,Urban,Y
LP0379,Female,Yes,1,Not Graduate,Yes,6950,1376,183,360,1.0,Rural,N
LP0380,Male,Yes,1,Graduate,No,5212,8706,300,360,1.0,Urban,Y
LP0381,Female,Yes,1,Not Graduate,No,2867,8894,268,480,1.0,Urban,Y
LP0382,Female,No,3+,Not Graduate,Yes,9689,1653,456,360,0.0,Urban,N
LP0383,Female,Yes,2,Graduate,No,10513,2066,492,180,1.0,Urban,Y
LP0384,Male,No,3+,Graduate,No,1954,22,140,480,1.0,Urban,N
LP0385,Male,No,0,Graduate,Yes,11316,2460,403,360,1.0,Rural,Y
LP0386,Female,Yes,3+,Not Graduate,No,4272,5926,425,480,1.0,Semiurban,Y
LP0387,Male,Yes,0,Not Graduate,No,5226,6251,95,180,0.0,Urban,N
LP0388,Male,No,3+,Not Graduate,No,8732,9496,87,360,1.0,Rural,Y
LP0389,Male,No,2,Graduate,Yes,12839,7295,191,180,1.0,Urban,Y
LP0390,Male,Yes,0,Graduate,No,13781,3300,149,360,1.0,Urban,Y
LP0391,Male,Yes,1,Not Graduate,No,6306,6279,377,240,1.0,Semiurban,Y
LP0392,Male,Yes,1,Not Graduate,No,3690,8553,239,360,1.0,Urban,Y
LP0393,Female,Yes,3+,Graduate,No,10608,7353,84,480,1.0,Rural,Y
LP0394,Female,Yes,1,Graduate,Yes,13678,3727,196,360,1.0,Rural,N
LP0395,Male,No,0,Graduate,Yes,4375,6272,79,180,1.0,Semiurban,Y
LP0396,Female,No,1,Graduate,No,7092,5995,383,180,1.0,Urban,Y
LP0397,Female,No,2,Not Graduate,No,2940,9476,133,360,1.0,Rural,Y
LP0398,Female,No,2,Graduate,Yes,14092,514,418,480,1.0,Urban,Y
LP0399,Female,Yes,3+,Not Graduate,Yes,10427,448,330,240,0.0,Urban,N
LP0400,Male,Yes,0,Not Graduate,No,13260,6019,473,480,1.0,Urban,Y
LP0401,Female,Yes,2,Not Graduate,Yes,7559,5343,393,240,1.0,Semiurban,Y
LP0402,Female,No,2,Graduate,No,13030,8033,319,180,1.0,Urban,Y
LP0403,Male,No,0,Graduate,Yes,8510,2520,203,480,1.0,Rural,N
LP0404,Male,Yes,1,Graduate,Yes,12707,3081,151,240,1.0,Urban,N
LP0405,Female,Yes,1,Graduate,Yes,8617,1428,264,360,1.0,Rural,Y
LP0406,Female,No,3+,Not Graduate,Yes,12581,3967,199,180,1.0,Urban,Y
LP0407,Female,No,1,Graduate,No,10653,6445,481,360,1.0,Rural,Y
LP0408,Female,Yes,0,Graduate,Yes,4489,9114,132,180,0.0,Rural,N
LP0409,Female,Yes,2,Not Graduate,Yes,13540,2159,159,480,0.0,Urban,Y
LP0410,Female,No,1,Graduate,No,10718,5132,484,480,1.0,Urban,Y
LP0411,Male,Yes,3+,Not Graduate,Yes,7728,2547,436,180,1.0,Rural,Y
LP0412,Female,Yes,1,Not Graduate,Yes,13557,2979,475,180,1.0,Semiurban,Y
LP0413,Female,Yes,0,Not Graduate,No,7971,2649,324,180,1.0,Urban,Y
LP0414,Male,No,3+,Not Graduate,Yes,4363,8505,250,480,0.0,Semiurban,Y
LP0415,Male,No,1,Not Graduate,No,12193,3083,333,240,1.0,Urban,Y
LP0416,Male,No,3+,Not Graduate,No,11639,1037,222,360,1.0,Urban,Y
LP0417,Male,No,0,Not Graduate,No,2677,3489,376,360,1.0,Urban,Y
LP0418,Female,No,2,Not Graduate,No,6260,7604,255,480,1.0,Urban,N
LP0419,Female,No,0,Graduate,Yes,1511,7544,112,360,1.0,Semiurban,Y
LP0420,Female,No,0,Graduate,No,6752,2634,122,180,1.0,Urban,Y
LP0421,Female,Yes,0,Graduate,Yes,5899,3983,300,240,1.0,Rural,N
LP0422,Female,Yes,0,Graduate,Yes,13056,1778,173,360,1.0,Rural,Y
LP0423,Female,Yes,2,Not Graduate,Yes,12714,7902,424,240,1.0,Semiurban,N
LP0424,Male,Yes,2,Graduate,Yes,13063,5110,170,180,1.0,Urban,Y
LP0425,Female,Yes,3+,Not Graduate,Yes,12522,5189,324,360,1.0,Rural,Y
LP0426,Male,Yes,1,Graduate,Yes,9734,7378,480,480,1.0,Semiurban,Y
LP0427,Male,Yes,2,Graduate,Yes,10635,1124,447,240,1.0,Urban,Y
LP0428,Female,No,2,Graduate,Yes,12082,697,169,180,1.0,Rural,Y
LP0429,Male,No,1,Not Graduate,Yes,6945,2179,471,240,1.0,Rural,Y
LP0430,Female,Yes,2,Graduate,Yes,12237,9596,486,360,0.0,Semiurban,N
LP0431,Male,Yes,0,Not Graduate,No,12103,5251,366,360,1.0,Urban,Y
LP0432,Female,No,0,Not Graduate,No,14678,9235,213,480,1.0,Urban,Y
LP0433,Male,Yes,1,Graduate,No,8070,1929,473,180,1.0,Rural,Y
LP0434,Female,Yes,3+,Graduate,Yes,10696,1013,335,180,1.0,Rural,Y
LP0435,Female,No,3+,Graduate,No,9712,226,314,480,1.0,Rural,Y
LP0436,Female,Yes,1,Not Graduate,No,1906,7321,369,480,1.0,Urban,Y
LP0437,Female,No,1,Graduate,No,10706,1828,210,180,0.0,Semiurban,Y
LP0438,Female,Yes,0,Not Graduate,Yes,5931,7909,425,240,1.0,Semiurban,Y
LP0439,Male,No,3+,Not Graduate,Yes,11530,5588,357,240,1.0,Urban,Y
LP0440,Male,No,2,Graduate,Yes,12880,2023,138,480,1.0,Semiurban,Y
LP0441,Male,No,0,Graduate,Yes,6743,4966,191,240,1.0,Rural,Y
LP0442,Female,Yes,1,Not Graduate,No,8042,5891,252,180,0.0,Semiurban,N
LP0443,Male,No,3+,Not Graduate,No,8436,1080,358,360,1.0,Semiurban,Y
LP0444,Female,Yes,2,Not Graduate,No,10406,5036,276,360,1.0,Semiurban,Y
LP0445,Female,Yes,2,Graduate,No,5646,2563,492,240,0.0,Rural,N
LP0446,Male,Yes,0,Not Graduate,Yes,13546,3292,383,480,1.0,Urban,Y
LP0447,Male,Yes,3+,Graduate,Yes,14111,3586,271,480,1.0,Rural,Y
LP0448,Female,No,3+,Not Graduate,Yes,14576,4431,90,480,1.0,Urban,N
LP0449,Male,No,1,Not Graduate,No,1640,6841,245,480,1.0,Urban,Y
LP0450,Female,Yes,3+,Graduate,Yes,14257,6643,117,480,1.0,Urban,Y
LP0451,Female,Yes,3+,Not Graduate,Yes,6382,3959,313,240,1.0,Semiurban,Y
LP0452,Female,No,0,Graduate,No,7512,161,51,360,1.0,Semiurban,N
LP0453,Female,Yes,3+,Graduate,No,2463,593,410,360,1.0,Urban,Y
LP0454,Female,No,2,Not Graduate,Yes,8651,3390,174,240,1.0,Urban,Y
LP0455,Male,Yes,0,Graduate,Yes,10064,5997,159,480,1.0,Semiurban,N
LP0456,Male,Yes,0,Graduate,Yes,13327,6354,135,240,1.0,Rural,Y
LP0457,Female,No,1,Not Graduate,Yes,12233,663,474,360,1.0,Urban,Y
LP0458,Female,Yes,3+,Graduate,Yes,5110,9324,169,180,1.0,Rural,Y
LP0459,Male,No,1,Graduate,Yes,11384,541,176,240,1.0,Semiurban,Y
LP0460,Male,Yes,2,Graduate,No,8394,5433,304,480,1.0,Urban,Y
LP0461,Female,Yes,0,Not Graduate,No,14967,5093,232,360,1.0,Rural,N
LP0462,Male,Yes,0,Graduate,No,8811,867,65,360,0.0,Rural,N
LP0463,Female,No,0,Not Graduate,Yes,1605,8623,111,360,1.0,Rural,Y
LP0464,Male,Yes,2,Not Graduate,No,7039,5469,418,360,1.0,Semiurban,Y
LP0465,Female,Yes,2,Graduate,Yes,11373,6256,481,480,1.0,Semiurban,Y
LP0466,Male,Yes,1,Graduate,Yes,13789,9398,207,180,1.0,Rural,Y
LP0467,Female,Yes,1,Graduate,No,13708,1169,317,360,1.0,Rural,N
LP0468,Male,No,1,Not Graduate,Yes,12328,830,84,240,0.0,Semiurban,N
LP0469,Male,No,3+,Graduate,Yes,8287,1651,316,180,1.0,Rural,Y
LP0470,Female,Yes,0,Graduate,No,3637,1136,113,360,1.0,Rural,Y
LP0471,Male,No,0,Graduate,No,13108,2810,99,180,1.0,Semiurban,Y
LP0472,Female,Yes,1,Graduate,No,5945,8667,304,240,1.0,Rural,Y
LP0473,Male,Yes,0,Graduate,Yes,5030,9518,198,360,1.0,Rural,Y
LP0474,Female,Yes,1,Not Graduate,No,2786,1019,374,240,1.0,Rural,Y
LP0475,Male,No,3+,Not Graduate,No,12871,5237,353,480,1.0,Semiurban,Y
LP0476,Female,No,3+,Graduate,Yes,14850,1283,325,360,1.0,Rural,Y
LP0477,Male,No,2,Graduate,No,8552,659,406,360,1.0,Semiurban,Y
LP0478,Female,No,3+,Graduate,No,5154,2010,221,360,1.0,Semiurban,Y
LP0479,Male,No,1,Graduate,No,8602,8590,466,360,0.0,Urban,N
LP0480,Female,No,3+,Not Graduate,Yes,3859,1733,250,480,1.0,Urban,Y
LP0481,Female,No,2,Graduate,Yes,9605,2125,494,360,0.0,Rural,N
LP0482,Female,No,0,Not Graduate,Yes,10136,2171,442,180,1.0,Semiurban,Y
LP0483,Male,No,1,Not Graduate,Yes,7941,8266,373,360,0.0,Urban,N
LP0484,Female,Yes,0,Graduate,No,6547,3471,84,480,0.0,Rural,N
LP0485,Male,No,2,Not Graduate,Yes,9727,9028,265,360,1.0,Urban,Y
LP0486,Female,No,2,Not Graduate,Yes,6703,5624,114,180,1.0,Urban,Y
LP0487,Male,No,2,Not Graduate,No,11167,8691,57,480,1.0,Semiurban,Y
LP0488,Female,No,0,Not Graduate,No,13649,8329,350,480,0.0,Semiurban,N
LP0489,Male,No,0,Graduate,No,3298,2097,392,180,1.0,Urban,Y
LP0490,Male,No,0,Graduate,Yes,11537,5068,480,180,1.0,Urban,Y
LP0491,Female,No,0,Not Graduate,Yes,11100,6397,473,180,1.0,Semiurban,Y
LP0492,Male,No,2,Graduate,Yes,6791,2757,381,180,0.0,Rural,N
LP0493,Male,No,2,Graduate,No,6995,3920,487,180,0.0,Semiurban,N
LP0494,Female,No,1,Graduate,No,11400,8186,125,480,0.0,Urban,N
LP0495,Male,No,1,Graduate,Yes,12630,1900,223,480,1.0,Rural,N
LP0496,Male,Yes,0,Graduate,No,7784,2610,96,360,1.0,Urban,Y
LP0497,Male,Yes,3+,Not Graduate,No,8785,6900,64,360,1.0,Rural,Y
LP0498,Female,No,3+,Graduate,No,2800,1449,410,240,1.0,Urban,Y
LP0499,Male,No,2,Graduate,Yes,8369,8738,196,360,1.0,Rural,Y
LP0500,Female,Yes,2,Graduate,No,10935,5017,75,360,1.0,Rural,Y
